 INVESTIGAÇÃO DE TRANSTORNOS MENTAIS RELACIONADOS AO TRABALHO - Notificações registradas no Sinan Net - Brasil
Notificações por Município de notificação e Escolar SinanNET
UF de notificação: Bahia
Período:2019
"Município de notificação";"Ign/Branco";"Analfabeto";"1ª a 4ª série incompleta do EF";"4ª série completa do EF";"5ª a 8ª série incompleta do EF";"Ensino fundamental completo";"Ensino médio incompleto";"Ensino médio completo";"Educação superior incompleta";"Educação superior completa";"Total"
"290100 AMARGOSA";-;-;-;-;-;-;-;-;-;1;1
"290210 ARACI";-;-;-;-;-;-;-;-;-;1;1
"290320 BARREIRAS";1;-;-;-;-;-;1;1;1;3;7
"290390 BOM JESUS DA LAPA";3;-;-;-;-;-;-;-;-;-;3
"290515 CAETANOS";-;-;-;-;-;-;-;1;-;1;2
"290520 CAETITE";-;-;-;-;-;-;-;1;-;-;1
"290570 CAMACARI";-;-;-;-;-;1;1;5;2;3;12
"290687 CAPIM GROSSO";-;-;-;-;1;-;-;-;-;-;1
"290750 CATU";5;-;-;-;-;-;-;-;-;-;5
"290840 CONCEICAO DO COITE";1;-;-;-;-;-;1;-;-;1;3
"291080 FEIRA DE SANTANA";2;-;2;-;1;2;4;18;4;17;50
"291120 GANDU";-;-;-;-;-;-;-;1;-;-;1
"291320 IBOTIRAMA";1;-;-;-;-;-;-;1;2;3;7
"291470 ITABERABA";-;-;1;-;1;-;1;1;-;2;6
"291480 ITABUNA";1;-;-;-;-;-;1;3;-;4;9
"291750 JACOBINA";-;-;-;-;-;-;-;-;1;-;1
"291800 JEQUIE";-;-;-;-;-;-;-;-;-;1;1
"292570 PRESIDENTE JANIO QUADROS";-;-;-;-;-;-;-;-;-;1;1
"292740 SALVADOR";8;1;-;-;1;-;3;17;7;34;71
"292870 SANTO ANTONIO DE JESUS";-;-;-;1;-;-;-;1;1;2;5
"293010 SENHOR DO BONFIM";-;-;-;-;-;-;-;1;-;-;1
"293330 VITORIA DA CONQUISTA";7;-;-;-;-;-;-;-;-;-;7
"Total";29;1;3;1;4;3;12;51;18;74;196
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis / Período - Correspondem aos anos de notificação dos casos.
 CAT - Comunicação de acidente de trabalho.
 O campo "CNAE – Ativ. Econ." considera os códigos referentes as tabelas CNAE 1.0.
 Dados a partir 2020 do Espírito Santo não estão disponíveis neste sistema, pois são oriundos do Sistema de Informação
     e-SUS VS, em uso pelo estado desde janeiro de 2020.
 Dados de 2006 a 2017 revisados e atualizados em 15/08/2022.
 Dados de 2018 revisados e atualizados em 22/08/2022.
 Dados de 2019 atualizados em junho de 2023.
 Dados de 2020 atualizados em junho de 2023, sujeitos à revisão.
 Dados de 2021 revisados e atualizados em agosto de 2023, sujeitos à revisão.
 Dados de 2022 revisados e atualizados em julho de 2023, sujeitos à revisão.
 *Dados disponibilizados no TABNET em agosto de 2023.
 
