"diagnóstico específico";"RO";"AC";"AM";"RR";"PA";"TO";"MA";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"Total"
"Outros CID’s não listados";-;-;-;-;-;-;-;6;1;-;-;1;-;2;6;-;2;4;-;1;2;2;-;-;27
"CID não preenchido";1;1;1;2;2;22;2;8;2;-;4;1;-;2;130;-;11;119;8;10;30;42;1;1;400
"Trans mentais orgânicos, inclu sintom (F00-F09)";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;25;1;-;-;-;-;-;28
"Trans ment e comp devid uso de subst psico F10-F19";-;-;-;-;-;2;-;2;-;-;-;5;-;-;1;-;-;1;-;-;1;-;-;-;12
"Esquizo, trans esquiz e trans delirantes F20-F29";-;-;-;-;-;-;-;3;-;1;-;9;-;3;2;-;-;3;2;-;2;2;1;-;28
"Transtornos do humor [afetivos] (F30-F39)";5;-;1;2;6;-;-;17;8;22;24;41;-;40;60;1;-;59;10;1;34;25;7;1;364
"Trans neurót, trans rel com stress e somat F40-F48";5;-;7;1;23;1;1;17;71;25;35;82;5;57;142;2;12;243;5;8;48;21;1;-;812
"Sínd comport assoc a disf fisio e fat físi F50-F59";-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"Trans da persona e do comport do adulto (F60-F69)";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;3
"Transtorno mental não especificado (F99-F99)";2;-;3;-;-;2;-;1;-;-;-;2;-;5;16;-;2;7;1;-;2;11;-;1;55
"Sint e sinais rel à cogn percep e comport R40-R46";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;3;-;-;2;-;-;-;7
"Lesões autoprovocadas intencionalmente (X60-X84)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;3
"Risc poten à saúd rel circun socio e psico Z55-Z65";-;-;-;-;-;-;-;-;1;-;-;-;-;-;4;-;1;17;-;-;5;-;-;-;28
"Síndrome de Burnout (Esgotamento) (Z73.0)";1;-;-;-;-;-;-;3;12;-;-;3;-;4;10;-;1;8;-;-;3;-;1;-;46
"Total";14;1;12;5;31;27;3;57;96;48;64;146;5;116;374;3;29;490;28;20;130;103;11;3;1816

 
