"diagnóstico específico";"RO";"AM";"RR";"PA";"TO";"MA";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"Outros CID’s não listados";-;-;-;-;-;-;2;-;-;-;1;-;4;10;1;11;2;-;7;-;-;-;-;38
"CID não preenchido";1;4;4;2;22;-;5;20;3;5;10;-;37;132;8;154;53;33;68;11;7;1;-;580
"Trans mentais orgânicos, inclu sintom (F00-F09)";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;7;-;-;-;-;-;-;-;8
"Trans ment e comp devid uso de subst psico F10-F19";1;1;-;-;-;-;-;-;-;-;1;-;-;3;-;2;-;-;1;-;-;-;-;9
"Esquizo, trans esquiz e trans delirantes F20-F29";-;-;-;1;-;-;1;-;-;2;7;-;7;-;-;-;1;-;-;1;1;-;-;21
"Transtornos do humor [afetivos] (F30-F39)";3;1;3;4;6;-;26;12;18;18;31;-;53;56;14;68;50;4;70;50;2;-;-;489
"Trans neurót, trans rel com stress e somat F40-F48";2;1;4;27;4;1;25;91;28;14;68;7;75;149;19;238;9;28;170;46;1;3;1;1011
"Sínd comport assoc a disf fisio e fat físi F50-F59";-;-;-;1;-;-;-;2;-;-;-;-;2;1;-;5;-;-;-;-;-;-;-;11
"Trans da persona e do comport do adulto (F60-F69)";-;-;-;-;-;-;1;-;-;-;-;-;-;2;1;1;-;-;-;-;-;-;-;5
"Retardo mental (F70-F79)";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"Transt do desenvolvimento psicológico (F80-F89)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"Transt comport e emoc da infân ou a adoles F90-F98";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"Transtorno mental não especificado (F99-F99)";-;1;1;1;2;-;4;-;-;-;10;-;12;4;3;31;2;-;1;15;-;-;-;87
"Sint e sinais rel à cogn percep e comport R40-R46";-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;8;-;-;7;-;-;-;-;18
"Lesões autoprovocadas intencionalmente (X60-X84)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;6;-;-;-;-;-;-;7
"Risc poten à saúd rel circun socio e psico Z55-Z65";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;-;24;-;-;-;-;30
"Circunstância relativa às condi de trabalho(Y96)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"Síndrome de Burnout (Esgotamento) (Z73.0)";-;-;-;-;1;-;2;12;3;1;-;3;5;16;2;6;-;3;5;-;1;-;-;60
"Total";7;9;12;36;35;1;66;138;52;41;128;10;196;376;50;537;124;68;353;123;12;4;1;2379

 
