"diagnóstico específico";"RO";"AC";"AM";"RR";"PA";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"RJ";"SP";"PR";"SC";"RS";"MS";"GO";"Total"
"Outros CID’s não listados";-;-;-;-;1;1;1;-;-;-;1;-;1;-;10;3;2;4;8;-;2;-;-;34
"CID não preenchido";6;-;3;3;12;3;2;1;21;5;1;1;8;2;29;21;7;17;10;13;7;7;4;183
"Trans mentais orgânicos, inclu sintom (F00-F09)";-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;1;-;2;-;-;1;-;-;8
"Trans ment e comp devid uso de subst psico F10-F19";-;1;-;-;-;2;-;-;-;-;-;-;-;-;2;1;1;-;11;-;1;-;-;19
"Esquizo, trans esquiz e trans delirantes F20-F29";-;-;-;-;-;-;1;-;-;-;-;-;9;-;2;-;3;3;-;-;-;-;-;18
"Transtornos do humor [afetivos] (F30-F39)";-;1;3;-;2;-;4;-;16;12;26;13;8;1;30;75;22;64;25;2;14;20;8;346
"Trans neurót, trans rel com stress e somat F40-F48";6;-;10;1;16;4;6;-;48;30;41;36;20;7;77;184;20;244;57;15;46;13;15;896
"Sínd comport assoc a disf fisio e fat físi F50-F59";-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;-;2;2;-;-;10
"Trans da persona e do comport do adulto (F60-F69)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3
"Transt comport e emoc da infân ou a adoles F90-F98";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"Transtorno mental não especificado (F99-F99)";-;-;2;1;-;1;-;-;-;-;-;1;2;3;3;3;-;8;-;-;14;3;-;41
"Sint e sinais rel à cogn percep e comport R40-R46";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4;-;-;1;-;-;7
"Lesões autoprovocadas intencionalmente (X60-X84)";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;2
"Risc poten à saúd rel circun socio e psico Z55-Z65";-;-;-;-;-;-;-;-;-;-;1;-;2;-;1;5;-;52;-;5;7;1;-;74
"Circunstância relativa às condi de trabalho(Y96)";-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;7;-;-;-;-;5;6;2;23
"Síndrome de Burnout (Esgotamento) (Z73.0)";1;-;-;-;-;-;-;-;7;8;3;-;12;2;3;14;2;83;1;7;4;2;2;151
"Total";13;2;21;5;31;11;14;2;92;55;73;51;65;16;162;315;57;484;113;44;104;55;31;1816
 
