"Município de notificação";"Ign/Branco";"Analfabeto";"1ª a 4ª série incompleta do EF";"4ª série completa do EF";"5ª a 8ª série incompleta do EF";"Ensino fundamental completo";"Ensino médio incompleto";"Ensino médio completo";"Educação superior incompleta";"Educação superior completa";"Não se aplica";"Total"
"290070 ALAGOINHAS";-;-;-;-;-;-;-;-;1;5;-;6
"290520 CAETITE";3;-;1;-;-;-;-;1;-;-;1;6
"290570 CAMACARI";1;-;-;-;1;-;-;6;1;4;-;13
"290840 CONCEICAO DO COITE";1;-;-;-;-;-;-;-;-;2;-;3
"291080 FEIRA DE SANTANA";8;-;-;-;-;2;1;24;3;23;1;62
"291280 IBIRAPUA";-;-;-;-;-;-;-;-;-;1;-;1
"291470 ITABERABA";-;-;-;-;-;1;1;7;-;3;3;15
"291480 ITABUNA";6;-;-;-;-;-;-;2;1;4;-;13
"291750 JACOBINA";-;-;-;-;-;-;1;3;3;5;1;13
"291800 JEQUIE";1;-;-;-;1;-;-;1;-;2;-;5
"291840 JUAZEIRO";-;-;-;1;-;-;-;-;-;-;-;1
"292140 MIRANGABA";1;-;-;-;-;-;-;-;-;-;-;1
"292250 NAZARE";-;-;-;-;-;-;-;1;-;-;-;1
"292510 POCOES";3;1;1;4;3;-;-;-;-;-;-;12
"292580 QUEIMADAS";5;-;-;-;-;-;-;1;2;6;-;14
"292700 RIO REAL";-;-;-;-;-;-;-;-;-;1;-;1
"292740 SALVADOR";16;-;1;-;1;-;-;6;6;7;-;37
"292870 SANTO ANTONIO DE JESUS";1;-;1;-;1;-;-;3;3;4;-;13
"293135 TEIXEIRA DE FREITAS";-;-;-;-;-;-;-;1;-;4;-;5
"293330 VITORIA DA CONQUISTA";18;-;1;-;-;-;-;1;1;1;1;23
"Total";64;1;5;5;7;3;3;57;21;72;7;245 
