"Município de notificação";"Ign/Branco";"Analfabeto";"1ª a 4ª série incompleta do EF";"4ª série completa do EF";"5ª a 8ª série incompleta do EF";"Ensino fundamental completo";"Ensino médio incompleto";"Ensino médio completo";"Educação superior incompleta";"Educação superior completa";"Total"
"290100 AMARGOSA";-;-;-;-;-;-;-;-;-;1;1
"290210 ARACI";-;-;-;-;-;-;-;-;-;1;1
"290320 BARREIRAS";1;-;-;-;-;-;1;1;1;3;7
"290390 BOM JESUS DA LAPA";3;-;-;-;-;-;-;-;-;-;3
"290515 CAETANOS";-;-;-;-;-;-;-;1;-;1;2
"290520 CAETITE";-;-;-;-;-;-;-;1;-;-;1
"290570 CAMACARI";-;-;-;-;-;1;1;5;2;3;12
"290687 CAPIM GROSSO";-;-;-;-;1;-;-;-;-;-;1
"290750 CATU";5;-;-;-;-;-;-;-;-;-;5
"290840 CONCEICAO DO COITE";1;-;-;-;-;-;1;-;-;1;3
"291080 FEIRA DE SANTANA";2;-;2;-;1;2;4;18;4;17;50
"291120 GANDU";-;-;-;-;-;-;-;1;-;-;1
"291320 IBOTIRAMA";1;-;-;-;-;-;-;1;2;3;7
"291470 ITABERABA";-;-;1;-;1;-;1;1;-;2;6
"291480 ITABUNA";1;-;-;-;-;-;1;3;-;4;9
"291750 JACOBINA";-;-;-;-;-;-;-;-;1;-;1
"291800 JEQUIE";-;-;-;-;-;-;-;-;-;1;1
"292570 PRESIDENTE JANIO QUADROS";-;-;-;-;-;-;-;-;-;1;1
"292740 SALVADOR";8;1;-;-;1;-;3;17;7;34;71
"292870 SANTO ANTONIO DE JESUS";-;-;-;1;-;-;-;1;1;2;5
"293010 SENHOR DO BONFIM";-;-;-;-;-;-;-;1;-;-;1
"293330 VITORIA DA CONQUISTA";7;-;-;-;-;-;-;-;-;-;7
"Total";29;1;3;1;4;3;12;51;18;74;196
